E_LPN_8	scBS_2C_6_1	scBS_2C_6_2	scBS_4C_7_1	scBS_4C_7_2	scBS_4C_7_3	scBS_4C_7_4	scBS_8C_9_1	scBS_8C_9_2	scBS_8C_9_3	scBS_8C_9_4	scBS_8C_9_5	scBS_8C_9_6	scBS_8C_9_7	scBS_8C_9_8
LOC643733	0.559	1.0	0.55	0.4	0.4	0.625	0.25	0.0	0.0	0.909	0.667	0.636	0.5	0.833	0.333
MCHR2	0.419	0.628	0.493	0.23	0.208	0.493	0.628	0.689	0.632	0.495	0.404	0.656	0.452	0.369	0.544
CAMKK2	0.528	0.471	0.399	0.234	0.286	0.308	0.338	0.38	0.444	0.537	0.648	0.592	0.49	0.579	0.421
CAMKK1	0.668	0.239	0.368	0.328	0.186	0.318	0.231	0.443	0.761	0.704	0.728	0.391	0.496	0.49	0.454
CHMP3	0.698	0.597	0.664	0.48	0.36	0.574	0.531	0.581	0.683	0.553	0.791	0.522	0.623	0.518	0.534
RPL36AL	0.0	0.0	0.033	0.0	0.0	0.0	0.109	0.048	0.0	0.0	0.05	0.0	0.118	0.0	0.0
CHMP7	0.241	0.35	0.469	0.219	0.053	0.105	0.224	0.243	0.205	0.363	0.243	0.255	0.426	0.647	0.427
CHMP6	0.427	0.444	0.326	0.104	0.288	0.247	0.109	0.307	0.087	0.264	0.324	0.351	0.402	0.364	0.446
CHMP5	0.909	0.125	0.591	0.438	0.083	0.467	0.333	0.667	0.43	0.542	0.941	0.629	0.589	0.417	0.846
LOC100652758	0.019	NA	0.0	0.0	0.026	0.0	0.0	0.021	0.0	NA	NA	0.0	0.0	0.0	0.0
OR52N5	1.0	NA	1.0	1.0	NA	1.0	NA	NA	1.0	NA	NA	1.0	NA	NA	NA
OR52N2	0.75	1.0	0.667	0.333	NA	NA	NA	1.0	1.0	NA	NA	0.833	1.0	0.75	0.75
OR52N1	1.0	NA	0.667	0.0	NA	0.25	1.0	1.0	NA	0.625	NA	NA	NA	0.75	1.0
LY6G6C	0.042	0.0	0.1	0.056	0.0	0.125	0.208	0.083	0.143	0.0	0.0	0.563	0.125	0.154	0.059
LY6G6D	0.043	0.5	0.4	0.0	0.0	0.05	0.056	0.385	0.048	0.0	0.071	0.132	0.0	0.0	0.0
LY6G6E	0.278	0.25	0.042	0.0	0.0	0.0	0.0	0.184	0.233	0.0	0.0	0.0	0.0	0.0	0.0
LY6G6F	0.066	0.0	0.263	0.0	0.0	0.222	0.0	0.125	0.113	0.161	0.0	0.271	0.0	0.095	0.0
HOXA10	0.017	0.013	0.009	0.002	0.007	0.017	0.011	0.004	0.01	0.013	0.016	0.007	0.011	0.006	0.005
GALNTL5	0.282	0.477	0.429	0.063	0.095	0.195	0.14	0.473	0.393	0.492	0.59	0.486	0.355	0.473	0.623
LOC100506469	0.262	0.118	0.138	0.047	0.031	0.173	0.061	0.05	0.092	0.138	0.012	0.255	0.192	0.279	0.193
GALNTL6	0.412	0.542	0.537	0.354	0.264	0.371	0.248	0.562	0.58	0.532	0.547	0.524	0.573	0.474	0.578
TDH	0.197	0.032	0.134	0.097	0.086	0.227	0.15	0.121	0.195	0.31	0.28	0.183	0.371	0.389	0.398
KRTAP11-1	0.0	0.286	0.0	0.938	NA	1.0	1.0	0.0	NA	NA	NA	0.0	NA	0.0	0.538
TDG	0.533	0.833	0.382	0.266	0.367	0.136	0.457	0.349	0.396	0.458	0.523	0.598	0.466	0.51	0.45
SCAMP1-AS1	0.069	NA	0.009	NA	0.019	0.0	0.0	0.094	0.02	0.25	NA	0.0	0.0	0.05	0.0
HN1	0.333	0.26	0.148	0.059	0.029	0.126	0.023	0.216	0.162	0.161	0.218	0.074	0.264	0.184	0.158
TBX2	0.006	0.108	0.017	0.02	0.01	0.011	0.004	0.008	0.004	0.025	0.068	0.01	0.007	0.011	0.019
LRRC27	0.454	0.264	0.317	0.226	0.166	0.242	0.181	0.415	0.486	0.389	0.586	0.319	0.342	0.327	0.602
LRRC26	0.014	0.044	0.014	0.007	0.015	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KIAA1524	0.377	0.429	0.64	0.302	0.304	0.103	0.19	0.846	0.545	1.0	0.875	0.125	0.463	0.533	0.838
LRRC24	0.009	0.0	0.011	0.002	0.021	0.014	0.0	0.002	0.007	0.026	0.085	0.009	0.013	0.005	0.006
KIAA1522	0.494	0.31	0.255	0.074	0.126	0.059	0.067	0.226	0.554	0.361	0.219	0.282	0.212	0.131	0.293
MPDU1	0.051	0.167	0.058	0.055	0.032	0.0	0.0	0.0	0.067	0.043	0.017	0.091	0.014	0.017	0.081
LRRC20	0.692	0.628	0.436	0.362	0.254	0.296	0.3	0.377	0.645	0.417	0.401	0.608	0.338	0.371	0.339
LRRC29	0.461	0.375	0.583	0.349	0.191	0.124	0.168	0.339	0.027	0.539	0.833	0.478	0.453	0.622	0.521
LRRC28	0.664	0.545	0.527	0.373	0.526	0.262	0.315	0.589	0.749	0.661	0.599	0.679	0.565	0.721	0.869
GCNT4	NA	0.0	NA	0.0	0.0	NA	NA	1.0	1.0	0.0	0.0	0.5	0.333	0.25	NA
GCNT7	0.743	0.875	0.673	0.474	0.542	0.362	0.356	0.734	0.588	0.591	0.335	0.769	0.694	0.783	0.516
GCNT1	0.5	0.556	0.47	0.302	0.25	0.297	0.243	0.509	0.377	0.382	0.27	0.559	0.395	0.397	0.434
GCNT3	0.818	0.889	0.6	0.344	0.538	0.462	0.5	0.643	0.5	0.607	0.909	0.741	0.882	0.676	1.0
GCNT2	0.393	0.365	0.378	0.088	0.199	0.243	0.186	0.402	0.326	0.396	0.614	0.468	0.398	0.432	0.546
LPCAT4	0.284	0.258	0.356	0.093	0.048	0.031	0.083	0.2	0.105	0.259	0.26	0.164	0.269	0.118	0.088
LPCAT2	0.269	0.05	0.32	0.108	0.083	0.204	0.085	0.182	0.414	0.54	0.552	0.397	0.491	0.368	0.41
LPCAT3	0.641	0.585	0.402	0.211	0.234	0.149	0.284	0.537	0.171	0.406	0.799	0.371	0.39	0.573	0.376
LPCAT1	0.586	0.474	0.458	0.024	0.129	0.299	0.304	0.368	0.39	0.416	0.551	0.475	0.738	0.401	0.562
TAGLN	0.284	0.241	0.436	0.151	0.024	0.023	0.022	0.138	0.023	0.25	0.019	0.41	0.192	0.389	0.174
CCDC178	0.619	0.497	0.552	0.336	0.307	0.333	0.454	0.801	0.528	0.656	0.596	0.623	0.53	0.542	0.67
CCDC179	0.857	0.0	NA	0.333	NA	0.5	1.0	1.0	1.0	0.75	0.5	1.0	1.0	1.0	0.857
ALPP	0.059	0.015	0.14	0.043	0.005	0.023	0.01	0.099	0.229	0.096	0.071	0.143	0.093	0.125	0.229
CCDC170	0.389	0.419	0.374	0.116	0.097	0.182	0.151	0.495	0.489	0.389	0.509	0.444	0.438	0.447	0.247
CCDC171	0.763	0.585	0.683	0.586	0.425	0.596	0.393	0.72	0.676	0.687	0.764	0.732	0.724	0.656	0.797
CCDC172	0.419	0.481	0.345	0.622	0.563	0.75	0.188	0.571	0.379	0.541	0.485	0.587	0.514	0.26	0.667
CCDC173	0.597	0.667	0.599	0.369	0.278	0.441	0.323	0.632	0.713	0.583	0.923	0.632	0.583	0.526	0.719
CCDC174	0.717	0.429	0.343	0.143	0.574	0.457	0.125	0.605	0.647	0.783	0.735	0.528	0.469	0.479	0.448
CCDC175	0.621	0.444	0.51	0.305	0.424	0.494	0.374	0.541	0.576	0.565	0.81	0.713	0.671	0.554	0.617
CCDC176	0.722	0.48	0.678	0.448	0.244	0.384	0.36	0.485	0.558	0.598	0.656	0.551	0.606	0.522	0.509
CCDC177	0.1	0.0	0.0	0.011	0.004	0.007	0.005	0.011	0.094	0.097	0.019	0.08	0.046	0.055	0.005
PDK1	0.318	0.379	0.313	0.143	0.079	0.16	0.19	0.281	0.383	0.53	0.664	0.365	0.318	0.482	0.398
PDK3	0.616	0.821	0.557	0.426	0.217	0.367	0.296	0.534	0.652	0.771	0.871	0.706	0.571	0.612	0.75
PDK2	0.476	0.306	0.398	0.288	0.125	0.333	0.241	0.308	0.234	0.694	0.607	0.102	0.5	0.291	0.424
EBP	0.181	0.5	0.096	0.273	0.36	0.021	0.143	0.458	0.325	0.135	0.267	0.193	0.171	0.233	0.188
PDK4	0.071	0.063	0.056	0.0	0.028	0.0	0.0	NA	0.029	0.045	NA	0.0	0.163	0.2	0.0
LNPEP	0.366	0.765	0.484	0.132	0.333	0.115	0.165	0.584	0.784	0.402	0.59	0.411	0.482	0.557	0.308
ALPI	0.142	0.09	0.149	0.082	0.021	0.073	0.016	0.295	0.153	0.297	0.605	0.059	0.052	0.071	0.262
SEC61A1	0.515	0.848	0.548	0.357	0.157	0.157	0.716	0.511	0.406	0.437	0.581	0.427	0.213	0.264	0.644
SEC61A2	0.647	0.585	0.697	0.361	0.212	0.275	0.332	0.441	0.611	0.584	0.419	0.707	0.455	0.547	0.55
ALPL	0.171	0.155	0.166	0.014	0.077	0.014	0.078	0.111	0.292	0.202	0.165	0.118	0.075	0.019	0.028
PECR	0.629	0.686	0.516	0.3	0.479	0.394	0.418	0.661	0.576	0.567	0.467	0.657	0.678	0.631	0.698
MIR193A	0.0	NA	0.0	0.083	NA	0.333	0.0	NA	NA	0.0	0.0	0.0	NA	0.0	0.0
MIR193B	NA	NA	0.0	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	0.0	0.0
HAS2-AS1	0.065	0.0	0.036	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.111
LOC400620	0.768	0.095	0.4	0.205	0.08	0.171	0.143	0.19	0.182	0.459	0.703	0.391	0.659	0.132	0.5
LINC01091	0.729	0.665	0.768	0.394	0.352	0.423	0.353	0.716	0.641	0.788	0.801	0.615	0.78	0.617	0.719
LINC01093	0.071	0.625	0.071	0.053	0.0	0.0	0.0	0.056	0.034	0.115	0.375	0.129	0.338	0.48	0.36
LINC01095	0.071	0.75	0.407	0.093	0.0	0.056	0.0	0.091	0.2	0.411	0.182	0.3	0.389	0.0	0.25
LINC01094	0.186	0.25	0.3	0.287	0.043	0.471	0.179	0.313	0.162	0.262	0.35	0.056	0.407	0.286	0.565
LINC01097	0.011	0.0	0.006	0.011	0.0	0.0	0.0	0.006	0.0	0.136	0.0	0.015	0.009	0.0	0.0
LINC01096	0.0	0.0	0.0	0.0	0.029	0.0	0.006	0.035	NA	0.0	0.0	0.0	0.0	0.019	0.07
LINC01099	0.82	0.875	0.584	0.464	0.306	0.691	0.5	0.775	0.894	0.876	0.759	0.803	0.76	0.93	0.77
LINC01098	0.774	0.765	0.597	0.389	0.195	0.582	0.456	0.689	0.884	0.858	0.798	0.694	0.803	0.834	0.774
LOC100507419	0.232	0.034	0.18	0.046	0.054	0.063	0.008	0.093	0.092	0.14	0.212	0.044	0.193	0.125	0.059
CTAGE11P	0.0	NA	0.0	0.0	NA	NA	0.0	1.0	0.333	0.0	0.0	0.1	0.0	0.091	0.75
D21S2088E	0.4	0.667	0.5	0.3	0.077	0.5	0.091	0.8	0.604	0.714	0.545	0.333	0.714	0.583	0.387
DDIT3	0.14	0.0	0.038	0.176	0.615	0.0	0.017	0.0	0.175	0.34	0.82	0.156	0.202	0.198	0.714
DDIT4	0.131	0.0	0.0	0.006	0.043	0.014	0.0	0.092	0.011	0.106	0.128	0.0	0.0	0.0	0.074
LOC101927112	0.306	0.398	0.472	0.264	0.276	0.098	0.238	0.38	0.355	0.547	0.574	0.378	0.524	0.329	0.493
DOCK9-AS1	1.0	1.0	1.0	0.0	NA	1.0	0.0	1.0	1.0	NA	0.0	0.0	NA	1.0	0.0
RIIAD1	0.075	0.043	0.106	0.019	0.0	0.041	0.0	0.162	0.133	0.259	0.105	0.113	0.055	0.077	0.078
GOLGA8T	0.16	1.0	0.5	0.095	0.0	0.0	0.0	0.0	0.0	0.438	0.3	0.15	0.0	0.32	0.714
OR5R1	0.214	NA	1.0	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0
GOLGA8S	0.205	0.125	0.059	0.091	0.0	0.0	0.094	0.0	0.0	0.077	0.5	0.026	0.179	0.0	0.0
GOLGA8R	0.5	NA	0.0	0.0	0.0	0.0	0.0	1.0	0.158	0.35	1.0	0.0	1.0	0.0	0.5
GOLGA8M	0.0	0.0	0.118	0.037	0.036	0.0	0.086	0.176	0.0	0.231	0.364	0.0	0.269	0.014	0.125
GOLGA8O	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.071	0.0	0.346	0.4	0.0	0.0	0.313	0.167
GOLGA8N	0.9	NA	0.0	0.0	NA	0.0	0.0	0.143	0.154	0.3	0.25	0.0	0.786	0.0	0.75
GOLGA8I	0.222	1.0	0.071	0.0	0.0	0.0	0.0	0.063	0.029	0.125	1.0	0.0	0.211	0.087	0.1
GOLGA8H	0.369	0.692	0.6	0.229	0.654	0.0	0.286	0.333	0.0	0.345	0.794	0.263	0.278	0.676	1.0
GOLGA8K	0.067	0.875	0.063	0.125	0.429	0.0	0.0	0.559	0.5	0.0	0.773	0.727	0.5	0.471	0.667
GOLGA8J	0.111	NA	0.056	0.125	0.045	0.0	0.0	0.05	0.048	0.185	0.474	0.194	0.13	0.056	0.25
GOLGA8G	0.167	NA	0.067	0.0	1.0	0.0	0.0	0.0	0.0	0.438	0.438	0.067	0.333	0.026	0.333
GOLGA8F	0.167	NA	0.067	0.0	1.0	0.0	0.0	0.0	0.0	0.583	0.438	0.067	0.333	0.026	0.353
GOLGA8A	0.432	0.445	0.299	0.155	0.071	0.164	0.149	0.378	0.249	0.33	0.387	0.186	0.47	0.262	0.362
GOLGA8B	0.356	0.401	0.474	0.336	0.165	0.165	0.184	0.198	0.348	0.337	0.821	0.251	0.476	0.39	0.449
ARHGAP8	0.644	0.514	0.482	0.245	0.194	0.331	0.297	0.32	0.341	0.512	0.38	0.495	0.399	0.705	0.412
EPHB1	0.695	0.535	0.563	0.378	0.634	0.327	0.433	0.641	0.68	0.659	0.766	0.594	0.531	0.531	0.682
CT45A1	0.341	0.091	0.038	0.216	0.0	0.032	0.017	0.17	0.049	0.235	0.262	0.063	0.31	0.117	0.134
CT45A3	0.0	NA	NA	NA	NA	NA	0.0	0.857	0.0	0.0	NA	0.0	0.0	0.0	0.0
CT45A2	NA	NA	NA	NA	NA	0.0	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA
CT45A5	NA	NA	NA	NA	NA	0.0	0.0	NA	0.0	NA	NA	NA	NA	0.0	NA
CT45A4	0.0	NA	1.0	0.0	NA	0.0	0.0	0.438	0.0	0.0	NA	0.222	0.0	0.0	0.0
CT45A6	0.0	NA	NA	NA	NA	0.0	0.0	0.857	0.0	0.0	NA	0.0	0.0	0.0	0.0
FTCDNL1	0.368	0.606	0.476	0.312	0.16	0.2	0.139	0.566	0.514	0.679	0.798	0.529	0.445	0.389	0.638
VMO1	0.007	0.0	0.026	0.031	0.0	0.006	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OGFR-AS1	0.123	0.032	0.127	0.02	0.038	0.017	0.243	0.088	0.036	0.099	0.156	0.089	0.091	0.111	0.022
ATP5C1	0.792	0.418	0.158	0.124	0.04	0.331	0.147	0.259	0.297	0.353	0.283	0.258	0.224	0.424	0.677
MIR639	0.0	NA	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	NA
MIR638	0.0	NA	0.0	0.0	0.063	NA	0.0	0.0	NA	0.0	0.0	0.0	0.0	0.0	0.0
MIR635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR634	NA	NA	NA	NA	NA	1.0	NA	0.0	NA	NA	NA	NA	NA	NA	NA
MIR637	0.083	0.0	0.5	0.167	NA	0.0	0.667	0.0	0.333	0.0	0.0	NA	0.5	0.2	0.333
MIR636	NA	NA	0.0	0.0	NA	0.0	0.083	0.0	NA	0.067	0.067	0.0	0.067	0.033	0.0
MIR631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR630	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MIR632	0.0	NA	0.0	NA	NA	0.0	NA	0.0	0.0	0.0	NA	0.0	0.0	0.0	NA
LINC00320	0.198	0.5	0.115	0.331	0.143	0.179	0.34	0.354	0.511	0.547	0.44	0.345	0.423	0.211	0.49
NPC2	0.42	1.0	0.1	0.085	0.235	0.061	0.143	0.163	0.31	0.224	0.246	0.278	0.3	0.471	0.077
NPC1	0.508	0.593	0.323	0.193	0.177	0.328	0.355	0.341	0.45	0.379	0.692	0.339	0.523	0.283	0.586
GATA3-AS1	0.005	0.0	0.0	0.0	0.033	0.007	0.0	0.004	0.008	0.0	0.014	0.003	0.012	0.0	0.027
LINC00324	0.013	0.013	0.015	0.006	0.0	0.006	0.0	0.022	0.006	0.018	0.0	0.0	0.0	0.0	0.019
LINC00326	0.42	0.0	0.222	0.188	0.5	0.294	0.0	0.184	0.533	0.575	0.464	0.632	0.083	0.444	0.688
LINC00327	0.368	0.533	0.0	0.195	0.25	0.125	0.114	0.7	0.409	0.308	0.5	0.308	0.462	0.7	0.619
C3orf58	0.063	0.05	0.101	0.013	0.009	0.0	0.132	0.091	0.048	0.083	0.071	0.015	0.055	0.044	0.071
RAB3GAP2	0.747	0.522	0.613	0.376	0.508	0.425	0.638	0.774	0.732	0.781	0.752	0.729	0.673	0.61	0.732
BHLHA15	0.056	0.0	0.094	0.012	0.0	0.0	0.011	0.0	0.063	0.739	0.711	0.0	0.167	0.387	0.375
RAB3GAP1	0.728	0.576	0.701	0.538	0.405	0.548	0.465	0.774	0.664	0.732	0.773	0.72	0.633	0.665	0.865
C3orf52	0.44	0.111	0.311	0.324	0.102	0.278	0.342	0.541	0.278	0.597	0.8	0.243	0.396	0.261	0.222
C3orf55	0.268	0.389	0.468	0.134	0.221	0.217	0.245	0.217	0.324	0.517	0.587	0.569	0.142	0.376	0.455
C3orf56	0.282	0.152	0.3	0.204	0.308	0.109	0.158	0.667	0.414	0.515	0.583	0.152	0.44	0.163	0.581
DAG1	0.634	0.392	0.443	0.289	0.305	0.23	0.213	0.509	0.427	0.346	0.497	0.393	0.432	0.349	0.387
ETHE1	0.524	0.367	0.18	0.303	0.174	0.331	0.348	0.477	0.31	0.398	0.272	0.602	0.493	0.294	0.42
LOC100996579	0.053	0.0	0.0	0.0	0.045	0.429	NA	0.0	0.333	0.0	NA	0.5	0.0	0.0	0.051
SGSM3	0.608	0.37	0.535	0.206	0.145	0.292	0.125	0.339	0.348	0.474	0.483	0.39	0.421	0.462	0.394
KDM1A	0.493	0.313	0.496	0.222	0.646	0.184	0.242	0.288	0.364	0.564	0.381	0.434	0.407	0.357	0.397
KDM1B	0.536	0.307	0.532	0.267	0.196	0.372	0.352	0.456	0.47	0.616	0.563	0.463	0.349	0.548	0.525
SLC36A2	0.338	0.808	0.26	0.034	0.529	0.281	0.436	0.797	0.829	0.817	0.949	0.806	0.809	0.868	0.944
OR1S1	1.0	NA	1.0	NA	NA	NA	NA	0.0	NA	0.667	1.0	1.0	1.0	0.667	NA
OR1S2	0.5	NA	NA	NA	NA	1.0	1.0	0.714	NA	0.9	0.9	0.75	0.929	0.667	0.75
MIR2355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0	1.0
RBM14-RBM4	0.492	0.167	0.323	0.279	0.113	0.146	0.262	0.271	0.334	0.179	0.158	0.259	0.335	0.41	0.274
FCER1G	0.342	0.429	0.6	0.091	0.0	0.0	0.0	0.206	0.0	0.438	0.667	0.077	0.154	0.0	0.385
BTG4	0.792	0.615	0.707	0.3	0.316	0.528	0.235	0.889	0.636	0.611	0.553	0.733	0.774	0.586	0.767
FCER1A	0.429	0.909	0.625	0.063	0.563	0.1	0.0	0.0	0.667	0.455	0.611	0.8	0.632	0.2	0.429
BTG2	0.014	0.065	0.041	0.0	0.026	0.021	0.016	0.0	0.0	0.019	0.0	0.0	0.0	0.012	0.0
SOSTDC1	1.0	NA	1.0	0.9	0.0	0.583	0.714	NA	0.667	0.722	0.0	0.2	0.615	1.0	1.0
LOC102723344	0.594	0.603	0.562	0.271	0.375	0.214	0.341	0.399	0.46	0.648	0.686	0.288	0.598	0.515	0.452
SRD5A3	0.383	0.45	0.45	0.207	0.198	0.201	0.048	0.412	0.197	0.461	0.362	0.544	0.746	0.407	0.613
SRD5A2	0.564	0.63	0.484	0.392	0.444	0.25	0.544	0.811	0.808	0.313	0.167	0.529	0.53	0.549	0.687
SRD5A1	0.601	0.794	0.441	0.098	0.223	0.307	0.331	0.311	0.715	0.733	0.867	0.68	0.657	0.588	0.551
EIF1AX-AS1	NA	0.0	NA	NA	NA	NA	NA	NA	1.0	NA	NA	NA	NA	NA	NA
GGA1	0.543	0.354	0.395	0.145	0.154	0.256	0.259	0.342	0.418	0.4	0.516	0.37	0.444	0.62	0.362
LOC101929723	0.0	NA	0.333	0.045	0.0	NA	0.0	0.0	0.0	0.143	0.0	0.182	0.5	0.0	0.079
GGA2	0.561	0.439	0.588	0.388	0.263	0.244	0.203	0.517	0.297	0.487	0.587	0.435	0.317	0.631	0.445
FHOD1	0.434	0.217	0.346	0.147	0.082	0.147	0.115	0.284	0.169	0.44	0.406	0.329	0.361	0.4	0.456
FHOD3	0.763	0.59	0.6	0.301	0.31	0.437	0.399	0.476	0.619	0.711	0.799	0.604	0.725	0.623	0.721
C4orf6	1.0	NA	1.0	1.0	NA	NA	NA	NA	0.0	NA	0.667	0.0	1.0	NA	1.0
GJC2	0.144	0.477	0.149	0.026	0.051	0.048	0.039	0.08	0.112	0.153	0.233	0.128	0.112	0.12	0.059
C4orf3	0.135	0.0	0.125	0.042	0.0	0.129	0.031	0.636	0.293	0.054	0.061	0.225	0.167	0.164	0.076
GJC1	0.438	0.09	0.408	0.196	0.199	0.203	0.096	0.231	0.156	0.368	0.496	0.209	0.323	0.306	0.359
PSMB9	0.064	0.192	0.045	0.0	0.028	0.033	0.023	0.133	0.0	0.088	0.0	0.228	0.0	0.011	0.0
PSMB8	0.074	0.0	0.027	0.0	0.0	0.143	0.059	0.044	0.0	0.08	0.051	0.105	0.016	0.0	0.172
PSMB7	0.585	0.726	0.379	0.291	0.483	0.322	0.235	0.692	0.446	0.298	0.375	0.618	0.473	0.417	0.355
PSMB6	0.179	NA	0.143	0.103	0.091	0.109	0.297	0.173	0.346	0.397	0.212	0.032	0.194	0.185	0.453
PSMB5	0.495	0.6	0.539	0.356	0.281	0.212	0.391	0.418	0.708	0.478	0.615	0.422	0.582	0.381	0.756
PSMB4	0.045	0.0	0.0	0.0	0.333	0.0	0.0	0.0	0.25	0.037	0.021	0.0	0.0	0.0	0.083
PSMB3	0.49	0.364	0.345	0.199	0.421	0.119	0.113	0.15	0.477	0.339	0.649	0.345	0.136	0.331	0.26
PSMB2	0.696	0.317	0.524	0.222	0.173	0.161	0.306	0.527	0.56	0.668	0.484	0.534	0.568	0.443	0.409
PSMB1	0.383	0.381	0.607	0.242	0.385	0.444	0.277	0.343	0.5	0.474	0.589	0.285	0.3	0.581	0.46
LMBR1L	0.43	0.272	0.27	0.1	0.026	0.038	0.083	0.296	0.269	0.232	0.442	0.352	0.113	0.388	0.299
PNMA1	0.125	0.026	0.048	0.007	0.0	0.008	0.0	0.0	0.006	0.029	0.021	0.005	0.0	0.0	0.008
ACKR2	0.613	0.625	0.64	0.317	0.289	0.25	0.382	0.616	0.571	0.638	0.643	0.685	0.625	0.411	0.604
PNMA3	0.225	0.5	0.201	0.077	0.0	0.0	0.123	0.377	0.127	0.303	0.267	0.275	0.058	0.013	0.091
PNMA2	0.064	0.0	0.045	0.01	0.037	0.0	0.038	0.049	0.082	0.03	0.077	0.039	0.046	0.06	0.0
PNMA5	0.173	0.077	0.106	0.029	0.117	0.05	0.025	0.028	0.344	0.292	0.688	0.05	0.0	0.0	0.2
LTN1	0.75	0.737	0.621	0.463	0.352	0.483	0.11	0.611	0.851	0.603	0.473	0.651	0.682	0.632	0.5
TRIML2	0.104	0.529	0.217	0.076	0.049	0.026	0.0	0.224	0.5	0.613	0.622	0.19	0.407	0.765	0.661
LOC101928231	0.152	0.288	0.213	0.032	0.0	0.125	0.093	0.392	0.244	0.212	0.371	0.387	0.207	0.136	0.054
C9orf142	0.071	0.0	0.0	0.034	0.0	0.0	0.012	0.19	0.061	0.178	0.17	0.028	0.021	0.0	0.059
TRIML1	0.136	0.333	0.062	0.029	0.095	0.019	0.0	0.007	0.144	0.183	0.364	0.055	0.337	0.145	0.071
NACC2	0.531	0.548	0.387	0.199	0.27	0.141	0.261	0.597	0.416	0.355	0.378	0.541	0.316	0.265	0.285
VPS13D	0.791	0.522	0.634	0.35	0.348	0.359	0.462	0.601	0.769	0.681	0.625	0.653	0.56	0.486	0.617
NACC1	0.468	0.395	0.37	0.266	0.214	0.325	0.327	0.186	0.303	0.257	0.268	0.521	0.514	0.254	0.245
VPS13A	0.643	0.582	0.625	0.374	0.314	0.436	0.3	0.709	0.714	0.606	0.641	0.679	0.682	0.479	0.675
SH3KBP1	0.734	0.613	0.626	0.434	0.411	0.254	0.33	0.689	0.755	0.668	0.79	0.636	0.526	0.588	0.654
VPS13C	0.686	0.508	0.727	0.5	0.467	0.339	0.516	0.824	0.651	0.732	0.852	0.696	0.719	0.657	0.768
VPS13B	0.832	0.708	0.778	0.455	0.473	0.543	0.557	0.694	0.794	0.762	0.834	0.671	0.719	0.721	0.813
BEX5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.059	0.043
BEX4	0.018	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.026	0.0	0.02	0.0	0.0	0.0	0.0
LOC101929181	0.167	0.0	0.115	0.0	0.2	0.0	0.074	0.1	0.125	0.045	0.536	0.0	0.25	0.083	0.0
BEX2	0.0	0.0	0.012	0.0	0.0	0.042	0.0	0.0	0.0	0.0	NA	0.014	0.0	0.0	0.154
BEX1	0.07	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.0	0.0
TMEM160	0.056	0.167	0.065	0.0	0.138	0.0	0.012	0.03	0.017	0.054	0.253	0.023	0.01	0.01	0.011
TMEM163	0.494	0.409	0.385	0.306	0.209	0.233	0.128	0.427	0.481	0.55	0.392	0.476	0.385	0.381	0.431
TMEM165	0.264	0.591	0.139	0.193	0.35	0.078	0.076	0.168	0.337	0.283	0.5	0.193	0.347	0.237	0.219
TMEM164	0.686	0.718	0.636	0.304	0.277	0.309	0.382	0.62	0.726	0.534	0.602	0.571	0.531	0.548	0.737
TMEM169	0.734	0.393	0.325	0.284	0.473	0.402	0.209	0.672	0.713	0.826	0.582	0.628	0.683	0.595	0.75
TMEM168	0.371	0.75	0.347	0.022	0.1	0.318	0.093	0.3	0.578	0.424	0.5	0.3	0.268	0.328	0.404
EVI2B	1.0	1.0	1.0	0.25	0.222	0.429	0.188	1.0	0.857	0.571	0.364	0.75	0.25	0.667	1.0
FOXN1	0.263	0.333	0.088	0.085	0.079	0.142	0.019	0.159	0.28	0.075	0.133	0.029	0.023	0.096	0.307
FOXN2	0.453	0.259	0.348	0.234	0.136	0.152	0.22	0.269	0.478	0.344	0.439	0.48	0.356	0.409	0.421
FOXN3	0.688	0.526	0.505	0.295	0.271	0.383	0.36	0.502	0.514	0.652	0.746	0.447	0.667	0.604	0.659
NICN1	0.391	0.443	0.212	0.107	0.179	0.236	0.033	0.441	0.148	0.326	0.315	0.314	0.123	0.083	0.163
COL14A1	0.745	0.748	0.551	0.32	0.217	0.461	0.436	0.596	0.515	0.685	0.729	0.711	0.634	0.782	0.845
